备案号,药品通用名称,药品批准文号,上市许可持有人,上市许可持有人地址,生产企业名称,生产企业地址,备案内容,备案机关,备案日期,备注,注
蒙备2024023411,清胃黄连丸,国药准字Z15020721,内蒙古九郡药业有限责任公司,内蒙古自治区巴彦淖尔市五原县隆兴昌镇团结路,内蒙古九郡药业有限责任公司,内蒙古自治区巴彦淖尔市五原县隆兴昌镇团结路,"1.申请清胃黄连丸生产地址名称表述变更，由“内蒙古五原县隆兴昌镇团结路”变更为“内蒙古自治区巴彦淖尔市五原县隆兴昌镇团结路”。
2.申请清胃黄连丸“药品包装用铝箔和聚氯乙烯固体药用硬片泡罩包装，9g/丸×10丸/板×1板/盒”包装规格的说明书、包装标签的重新备案。具体变更内容如下：
清胃黄连丸药品说明书、包装标签【上市许可持有人/生产企业】项下生产地址由“内蒙古五原县隆兴昌镇团结路”变更为“内蒙古自治区巴彦淖尔市五原县隆兴昌镇团结路”。
清胃黄连丸内标签“【产品批号】”变更为“【产品批号】见边缘处”，“【有效期】36个月”变更为“【有效期至】见边缘处”。
规范清胃黄连丸药品说明书、包装标签中的内容：【警示语】项下增加“警告：孕妇慎用。”；【包装】项下“药用铝塑包装”修订为“药品包装用铝箔和聚氯乙烯固体药用硬片泡罩包装”；“9克×10丸/盒”修订为“每丸重9克，每板装10丸，每盒装1板”；【执行标准】修订为“《中国药典》2020年版一部”；
其余内容皆按照相关法规要求，重新进行设计。申请人对申报资料的真实性、准确性、完整性、规范性负责。",内蒙古自治区药品监督管理局,2024-06-21,已备案,详情
蒙备2024023442,羚翘解毒丸,国药准字Z15020496,内蒙古九郡药业有限责任公司,内蒙古自治区巴彦淖尔市五原县隆兴昌镇团结路,内蒙古九郡药业有限责任公司,内蒙古自治区巴彦淖尔市五原县隆兴昌镇团结路,"1.申请羚翘解毒丸生产地址名称表述变更，由“内蒙古五原县隆兴昌镇团结路”变更为“内蒙古自治区巴彦淖尔市五原县隆兴昌镇团结路”。
2.申请羚翘解毒丸“药品包装用铝箔和聚氯乙烯固体药用硬片泡罩包装，9g/丸×10丸/板×1板/盒”包装规格的说明书、包装标签的重新备案。具体变更内容如下：
羚翘解毒丸药品说明书、包装标签【上市许可持有人/生产企业】项下生产地址由“内蒙古五原县隆兴昌镇团结路”变更为“内蒙古自治区巴彦淖尔市五原县隆兴昌镇团结路”。
羚翘解毒丸内标签“【产品批号】”变更为“【产品批号】见边缘处”，“【有效期】36个月”变更为“【有效期至】见边缘处”。
规范羚翘解毒丸药品说明书中的内容：【包装】项下“药用铝塑包装”修订为“药品包装用铝箔和聚氯乙烯固体药用硬片泡罩包装”；“9克×10丸/盒”修订为“每丸重9克，每板装10丸，每盒装1板”；
其余内容皆按照相关法规要求，重新进行设计。申请人对申报资料的真实性、准确性、完整性、规范性负责。",内蒙古自治区药品监督管理局,2024-06-21,已备案,详情
青备2024021771,手参肾宝胶囊,国药准字Z20025759,金诃藏药股份有限公司,西宁市纬二路22号（青海生物科技产业园）,金诃藏药股份有限公司,西宁市纬二路22号（青海生物科技产业园）,依据国家药品监督管理局《药品补充申请批准通知书》（编号：2024B01227）变更药品规格、变更药品说明书中安全性信息等内容通知书要求，申请对手参肾宝胶囊标签、说明书修订其【规格】、【不良反应】、【禁忌】及【注意事项】。,青海省药品监督管理局,2024-06-21,已备案,详情
浙备2024023145,左氧氟沙星片,国药准字H20213278,浙江普利药业有限公司,浙江省杭州市临平区经济开发区新洲路78号,浙江普利药业有限公司,浙江省杭州市临平区经济开发区新洲路78号,变更左氧氟沙星分析方法,浙江省药品监督管理局,2024-06-21,已备案,详情
鄂备2024023202,注射用间苯三酚,国药准字H20060385,湖北午时药业股份有限公司,湖北省安陆市碧涢路137号,湖北午时药业股份有限公司,湖北省安陆市碧涢路137号,申请增加开封明仁药业有限公司为我公司注射用间苯三酚的原料药供应厂家。,湖北省药品监督管理局,2024-06-21,已备案,详情
浙备2024023094,元胡止痛胶囊,国药准字Z20064069,浙江康恩贝制药股份有限公司,浙江省兰溪市康恩贝大道1号,浙江康恩贝制药股份有限公司,浙江省兰溪市康恩贝大道1号,根据国家药监局关于修订元胡止痛制剂说明书的公告（2024年第40号）要求，对元胡止痛胶囊的不良反应、禁忌、注意事项进行修订，并对说明书和标签做相应的修订。,浙江省药品监督管理局,2024-06-21,已备案,详情
Y浙备2024022058,莫匹罗星,Y20210000384,无,无,杭州中美华东制药江东有限公司,杭州大江东产业集聚区梅林大道7278号,本品有效期从24个月延长至36个月；新增一种包装规格（15kg/桶）。,浙江省药品监督管理局,2024-06-21,已备案,详情
蒙备2024023444,芎菊上清丸,国药准字Z15020742,内蒙古九郡药业有限责任公司,内蒙古自治区巴彦淖尔市五原县隆兴昌镇团结路,内蒙古九郡药业有限责任公司,内蒙古自治区巴彦淖尔市五原县隆兴昌镇团结路,"1.申请芎菊上清丸生产地址名称表述变更，由“内蒙古五原县隆兴昌镇团结路”变更为“内蒙古自治区巴彦淖尔市五原县隆兴昌镇团结路”。
2.申请芎菊上清丸“药品包装用铝箔和聚氯乙烯固体药用硬片泡罩包装，9g/丸×10丸/板×1板/盒”包装规格的说明书、包装标签的重新备案。具体变更内容如下：
芎菊上清丸药品说明书、包装标签【上市许可持有人/生产企业】项下生产地址由“内蒙古五原县隆兴昌镇团结路”变更为“内蒙古自治区巴彦淖尔市五原县隆兴昌镇团结路”。
芎菊上清丸内标签“【产品批号】”变更为“【产品批号】见边缘处”，“【有效期】36个月”变更为“【有效期至】见边缘处”。
规范芎菊上清丸药品说明书中的内容：【包装】项下“药用铝塑包装”修订为“药品包装用铝箔和聚氯乙烯固体药用硬片泡罩包装”；“9克×10丸/盒”修订为“每丸重9克，每板装10丸，每盒装1板”；
【执行标准】修订为“《中国药典》2020年版一部”；其余内容皆按照相关法规要求，重新进行设计。申请人对申报资料的真实性、准确性、完整性、规范性负责。",内蒙古自治区药品监督管理局,2024-06-21,已备案,详情
皖备2024022418,羟苯磺酸钙胶囊,国药准字 H20247059,上海海虹实业（集团）巢湖今辰药业有限公司,安徽省巢湖市长江东路43号,上海海虹实业（集团）巢湖今辰药业有限公司,安徽省巢湖市长江东路43号,根据国家药监局关于修订羟苯磺酸钙口服制剂说明书的公告（2024年第37号）和关于仿制药质量和疗效一致性评价工作有关事项的公告（2017年第100号）的要求，修订羟苯磺酸钙胶囊（0.5g）说明书及套盒中不良反应、注意事项信息，同时在羟苯磺酸钙胶囊（0.5g）套盒、说明书上增加“一致性评价”标识。,安徽省药品监督管理局,2024-06-21,已备案,详情
蒙备2024023449,牛黄上清丸,国药准字Z15020739,内蒙古九郡药业有限责任公司,内蒙古自治区巴彦淖尔市五原县隆兴昌镇团结路,内蒙古九郡药业有限责任公司,内蒙古自治区巴彦淖尔市五原县隆兴昌镇团结路,"1.申请牛黄上清丸生产地址名称表述变更，由“内蒙古五原县隆兴昌镇团结路”变更为“内蒙古自治区巴彦淖尔市五原县隆兴昌镇团结路”。
2.申请牛黄上清丸“药品包装用铝箔和聚氯乙烯固体药用硬片泡罩包装，6g/丸×10丸/板×1板/盒”包装规格的说明书、包装标签的重新备案。具体变更内容如下：
牛黄上清丸药品说明书、包装标签【上市许可持有人/生产企业】项下生产地址由“内蒙古五原县隆兴昌镇团结路”变更为“内蒙古自治区巴彦淖尔市五原县隆兴昌镇团结路”。
牛黄上清丸内标签“【产品批号】”变更为“【产品批号】见边缘处”，“【有效期】36个月”变更为“【有效期至】见边缘处”。
规范牛黄上清丸药品说明书中的内容：【警示语】项下增加“警告：孕妇慎用。”；【包装】项下“药用铝塑包装”修订为“药品包装用铝箔和聚氯乙烯固体药用硬片泡罩包装”；“6克×10丸/盒”修订为“每丸重6克，每板装10丸，每盒装1板”；【执行标准】修订为“《中国药典》2020年版一部”；
其余内容皆按照相关法规要求，重新进行设计。申请人对申报资料的真实性、准确性、完整性、规范性负责。",内蒙古自治区药品监督管理局,2024-06-21,已备案,详情
Y琼备2024023392,盐酸胺碘酮,Y20210001090,无,无,海南普利制药股份有限公司,海口市美兰区桂林洋经济开发区,盐酸胺碘酮（登记号：Y20210001090）有效期由18个月变更为36个月。,海南省药品监督管理局,2024-06-21,已备案,详情
琼备2024023637,注射用头孢曲松钠,国药准字H46020481 国药准字H46020482,海南海灵化学制药有限公司,海口市南海大道281号,海南海灵化学制药有限公司,海口市南海大道281号,注射用头孢曲松钠变更不影响制剂关键质量属性的工艺参数：2#分装机分装速度、2#轧盖机轧盖速度、贴签速度变更。,海南省药品监督管理局,2024-06-21,已备案,详情
赣备2024022665,格列喹酮胶囊,国药准字H20000064,江西京通美联药业有限公司,江西省吉安市永丰县城北坪上,江西京通美联药业有限公司,江西省吉安市永丰县城北坪上,"根据《国家药监局关于发布药品说明书适老化及无障碍改革试点工作方案的公告(2023年第142号)》,对格列喹酮胶囊纸质药品说明书（完整版）及电子药品说明书（完整版）进行备案。",江西省药品监督管理局,2024-06-21,已备案,详情
Y津备2024023715,阿托伐他汀钙,国药准字H19990257,无,无,天津嘉林科医有限公司,天津新技术产业园区武清开发区旺源道8号,按照《药品管理法》和国家药监部门的管理要求，申请规范“阿托伐他汀钙”企业相关信息，去除药品上市许可持有人相关内容。,天津市药品监督管理局,2024-06-21,已备案,详情
琼备2024023237,门冬氨酸钾镁注射液,国药准字H20243835,洋浦京泰药业有限公司,洋浦经济开发区海岸华庭H栋4层403号房,内蒙古白医制药股份有限公司,内蒙古自治区乌兰浩特经济技术开发区中央大路5号,申请门冬氨酸钾镁注射液“20ml：门冬氨酸钾（按C4H6KNO4计）1.0g和门冬氨酸镁（按C8H12MgN2O8计）1.0g”的药品说明书、标签增加“通过一致性评价”标识。,海南省药品监督管理局,2024-06-21,已备案,详情
蒙备2024023411,清胃黄连丸,国药准字Z15020721,内蒙古九郡药业有限责任公司,内蒙古自治区巴彦淖尔市五原县隆兴昌镇团结路,内蒙古九郡药业有限责任公司,内蒙古自治区巴彦淖尔市五原县隆兴昌镇团结路,"1.申请清胃黄连丸生产地址名称表述变更，由“内蒙古五原县隆兴昌镇团结路”变更为“内蒙古自治区巴彦淖尔市五原县隆兴昌镇团结路”。
2.申请清胃黄连丸“药品包装用铝箔和聚氯乙烯固体药用硬片泡罩包装，9g/丸×10丸/板×1板/盒”包装规格的说明书、包装标签的重新备案。具体变更内容如下：
清胃黄连丸药品说明书、包装标签【上市许可持有人/生产企业】项下生产地址由“内蒙古五原县隆兴昌镇团结路”变更为“内蒙古自治区巴彦淖尔市五原县隆兴昌镇团结路”。
清胃黄连丸内标签“【产品批号】”变更为“【产品批号】见边缘处”，“【有效期】36个月”变更为“【有效期至】见边缘处”。
规范清胃黄连丸药品说明书、包装标签中的内容：【警示语】项下增加“警告：孕妇慎用。”；【包装】项下“药用铝塑包装”修订为“药品包装用铝箔和聚氯乙烯固体药用硬片泡罩包装”；“9克×10丸/盒”修订为“每丸重9克，每板装10丸，每盒装1板”；【执行标准】修订为“《中国药典》2020年版一部”；
其余内容皆按照相关法规要求，重新进行设计。申请人对申报资料的真实性、准确性、完整性、规范性负责。",内蒙古自治区药品监督管理局,2024-06-21,已备案,详情
蒙备2024023442,羚翘解毒丸,国药准字Z15020496,内蒙古九郡药业有限责任公司,内蒙古自治区巴彦淖尔市五原县隆兴昌镇团结路,内蒙古九郡药业有限责任公司,内蒙古自治区巴彦淖尔市五原县隆兴昌镇团结路,"1.申请羚翘解毒丸生产地址名称表述变更，由“内蒙古五原县隆兴昌镇团结路”变更为“内蒙古自治区巴彦淖尔市五原县隆兴昌镇团结路”。
2.申请羚翘解毒丸“药品包装用铝箔和聚氯乙烯固体药用硬片泡罩包装，9g/丸×10丸/板×1板/盒”包装规格的说明书、包装标签的重新备案。具体变更内容如下：
羚翘解毒丸药品说明书、包装标签【上市许可持有人/生产企业】项下生产地址由“内蒙古五原县隆兴昌镇团结路”变更为“内蒙古自治区巴彦淖尔市五原县隆兴昌镇团结路”。
羚翘解毒丸内标签“【产品批号】”变更为“【产品批号】见边缘处”，“【有效期】36个月”变更为“【有效期至】见边缘处”。
规范羚翘解毒丸药品说明书中的内容：【包装】项下“药用铝塑包装”修订为“药品包装用铝箔和聚氯乙烯固体药用硬片泡罩包装”；“9克×10丸/盒”修订为“每丸重9克，每板装10丸，每盒装1板”；
其余内容皆按照相关法规要求，重新进行设计。申请人对申报资料的真实性、准确性、完整性、规范性负责。",内蒙古自治区药品监督管理局,2024-06-21,已备案,详情
皖备2024022573,羟苯磺酸钙胶囊,国药准字 H20123194,上海海虹实业（集团）巢湖今辰药业有限公司,安徽省巢湖市长江东路43号,上海海虹实业（集团）巢湖今辰药业有限公司,安徽省巢湖市长江东路43号,根据国家药监局关于修订羟苯磺酸钙口服制剂说明书的公告（2024年第37号）和关于仿制药质量和疗效一致性评价工作有关事项的公告（2017年第100号）的要求，修订羟苯磺酸钙胶囊（0.25g）说明书及套盒中不良反应、注意事项信息，同时在羟苯磺酸钙胶囊（0.25g）套盒、说明书上增加“一致性评价”标识。,安徽省药品监督管理局,2024-06-21,已备案,详情
滇备2024023516,玄麦甘桔颗粒,国药准字Z53020488,云南龙发制药股份有限公司,云南省楚雄市鹿城南路384号,云南龙发制药股份有限公司,云南省楚雄市鹿城南路384号,"玄麦甘桔颗粒（9×10克/袋/盒，100盒/箱）说明书及标签备案：
（1）生产企业由原“委托方企业名称：云南龙发制药股份有限公司 注册地址：云南省楚雄市鹿城南路384号 
受托方企业名称：安徽松瑞制药有限公司 生产地址：安徽省亳州市谯城区十八里工业园B区6号”修改为：“企业名称：云南龙发制药股份有限公司 生产地址：云南省楚雄市鹿城南路384号”，删除“咨询电话：400 0871 746”。
（2）【执行标准】由“《中国药典》2015年版一部”变更为“《中国药典》2020年版一部”。
（3）根据市场营销需要，变更包装标签图案，增加药品追溯码。",云南省药品监督管理局,2024-06-21,已备案,详情
蒙备2024023444,芎菊上清丸,国药准字Z15020742,内蒙古九郡药业有限责任公司,内蒙古自治区巴彦淖尔市五原县隆兴昌镇团结路,内蒙古九郡药业有限责任公司,内蒙古自治区巴彦淖尔市五原县隆兴昌镇团结路,"1.申请芎菊上清丸生产地址名称表述变更，由“内蒙古五原县隆兴昌镇团结路”变更为“内蒙古自治区巴彦淖尔市五原县隆兴昌镇团结路”。
2.申请芎菊上清丸“药品包装用铝箔和聚氯乙烯固体药用硬片泡罩包装，9g/丸×10丸/板×1板/盒”包装规格的说明书、包装标签的重新备案。具体变更内容如下：
芎菊上清丸药品说明书、包装标签【上市许可持有人/生产企业】项下生产地址由“内蒙古五原县隆兴昌镇团结路”变更为“内蒙古自治区巴彦淖尔市五原县隆兴昌镇团结路”。
芎菊上清丸内标签“【产品批号】”变更为“【产品批号】见边缘处”，“【有效期】36个月”变更为“【有效期至】见边缘处”。
规范芎菊上清丸药品说明书中的内容：【包装】项下“药用铝塑包装”修订为“药品包装用铝箔和聚氯乙烯固体药用硬片泡罩包装”；“9克×10丸/盒”修订为“每丸重9克，每板装10丸，每盒装1板”；
【执行标准】修订为“《中国药典》2020年版一部”；其余内容皆按照相关法规要求，重新进行设计。申请人对申报资料的真实性、准确性、完整性、规范性负责。",内蒙古自治区药品监督管理局,2024-06-21,已备案,详情
粤备2024023295,滋肾宁神丸,国药准字Z44020236,广东沙溪制药有限公司,广东省中山市沙溪镇宝珠西路34号,广东沙溪制药有限公司,广东省中山市沙溪镇宝珠西路34号,本品直接接触药品包装材料和容器为药用高密度聚乙烯瓶装的，有效期由“30个月”变更为“36个月”。,广东省药品监督管理局,2024-06-21,已备案,详情
皖备2024023452,丙谷胺片等56个品种,国药准字H34021866,九华华源药业股份有限公司,安徽省滁州市琅琊区创业路211号,九华华源药业股份有限公司,安徽省滁州市琅琊区创业路211号,将药品上市许可持有人名称由“安徽九华华源药业有限公司”变更为“九华华源药业股份有限公司”；生产企业名称由“安徽九华华源药业有限公司”变更为“九华华源药业股份有限公司”；生产地址名称由“滁州市创业路211号”变更为“安徽省滁州市琅琊区创业路211号”；并将以上变更后的信息同步修订至药品说明书及标签。涉及品种如下：1.丙谷胺片，国药准字H34021866；2.硫糖铝咀嚼片，国药准字H34021651；3.呋喃唑酮片，国药准字H34021872；4.肌苷片，国药准字H34021439；5.异烟肼片，国药准字H34021871；6.乙酰螺旋霉素片，国药准字H34021447；7.维生素B2片，国药准字H34022387；8.呋喃唑酮片，国药准字H34021448；9.安乃近片，国药准字H34021435；10.乙酰螺旋霉素片，国药准字H34022389；11.磺胺甲噁唑片，国药准字H34021941；12.维生素C片，国药准字H34021652；13.维生素C片，国药准字H34021445；14.氯霉素片，国药准字H34021943；15.谷维素片，国药准字H34021438；16.维生素C片，国药准字H34021446；17.甲硝唑片，国药准字H34021648；18.硫酸庆大霉素片，国药准字H34021650；19.硫酸庆大霉素片，国药准字H34021440；20.维生素B6片，国药准字H34021947；21.萘普生胶囊，国药准字H34022886；22.碳酸氢钠片，国药准字H34022386；23.复方乙酰水杨酸片，国药准字H34021093；24.萘普生胶囊，国药准字H34022887；25.去痛片，国药准字H34021946；26.阿司匹林片，国药准字H34022919；27.盐酸乙胺丁醇片，国药准字H34022388；28.磺胺脒片，国药准字H34021647；29.马来酸氯苯那敏片，国药准字H34021944；30.对乙酰氨基酚片，国药准字H34021869；31.西咪替丁片，国药准字H34021653；32.阿司匹林片，国药准字H34022918；33.对乙酰氨基酚片，国药准字H34021437；34.利福平胶囊，国药准字H34021649；35.萘普生胶囊，国药准字H34022888；36.红霉素肠溶片，国药准字H34021940；37.布洛芬片，国药准字H34021867；38.土霉素片，国药准字H34021443；39.麦白霉素片，国药准字H34021441；40.维生素B2片，国药准字H34021444；41.卡马西平片，国药准字H34021942；42.维生素B1片，国药准字H34021870；43.土霉素片，国药准字H34021442；44.碳酸氢钠片，国药准字H34022385；45.复合维生素B片，国药准字H34022884；46.阿司匹林肠溶片，国药准字H34021646；47.复方磺胺甲噁唑片，国药准字H34021938；48.诺氟沙星胶囊，国药准字H34021945；49.红霉素肠溶片，国药准字H34021939；50.醋酸氟轻松乳膏，国药准字H34021562；51.曲安缩松-尿素软膏，国药准字H34023317；52.红霉素软膏，国药准字H34021131；53.克霉唑乳膏，国药准字H34021136；54.硫软膏，国药准字H34021137；55.醋酸地塞米松乳膏，国药准字H34021561；56.曲安缩松-尿素软膏，国药准字H34022384。,安徽省药品监督管理局,2024-06-21,已备案,详情
浙备2024023342,托拉塞米注射液,国药准字H20243367,浙江华海药业股份有限公司,浙江省临海市汛桥,成都市海通药业有限公司,成都市海峡两岸科技产业开发园柳台大道222号,"1.本品有效期由“18个月”变更为“24个月”，并对说明书作相应修订。
2.在说明书中【注意事项】项下增加“运动员慎用”描述。
3.在药品标签中增加“通过一致性评价”标识。",浙江省药品监督管理局,2024-06-21,已备案,详情
粤备2024022846,虎贞清风胶囊,国药准字Z20210007,一力制药股份有限公司,广东省四会市东城区凤山路,一力制药股份有限公司,广东省四会市东城区凤山路,本品新增直接接触药品包装材料和容器“铝塑泡罩包装”、“铝铝泡罩包装”；增加包装规格：铝塑泡罩包装，每板12粒；铝铝泡罩包装，每板12粒。,广东省药品监督管理局,2024-06-21,已备案,详情
浙备2024022943,西沙必利胶囊,国药准字H20040814,万邦德制药集团有限公司,浙江省温岭市城东街道百丈北路28号,万邦德制药集团有限公司,浙江省温岭市城东街道百丈北路28号,根据国家药监局关于修订西沙必利口服制剂说明书的公告（2024年第32号）对西沙必利胶囊说明书【警示语】、【不良反应】、【注意事项】内容进行修订并对包装标签进行规范修订。,浙江省药品监督管理局,2024-06-21,已备案,详情
吉备2024023575,葡萄糖氯化钠注射液,国药准字H20113498,吉林省都邦药业股份有限公司,德惠市经济开发区德大路699号,吉林省都邦药业股份有限公司,吉林省德惠市经济开发区德大路699号,根据《药品注册管理办法》（局令第27号）、《药品说明书和标签管理规定》（国家食品药品监督管理局令24号）及相关规定变更100ml/袋药品说明书，样稿如附件所示（附件见吉林省药品监督管理局网站），企业负责说明书内容的真实性与合法性。,吉林省药品监督管理局,2024-06-21,已备案,详情
川备2024013290,复方青果颗粒,国药准字Z19994064,四川百草堂龙人药业有限公司,泸州市江阳区拥军路一段159号附1号,四川百草堂龙人药业有限公司,四川省泸州市江阳区拥军路一段159号附1号,该品种有效期由24个月变更为36个月，药品说明书和包装标签进行相应修订。,四川省药品监督管理局,2024-06-21,已备案,详情
苏备2024023331,钆特醇注射液,国药准字 H20243918,正大天晴药业集团股份有限公司,江苏省连云港市郁州南路369号,正大天晴药业集团股份有限公司,江苏省连云港市郁州南路369号,根据国家局《关于“通过一致性评价”标识使用有关事宜的说明》，在说明书标签中增加“仿制药一致性评价”标识。,江苏省药品监督管理局,2024-06-22,已备案,详情
苏备2024023524,盐酸决奈达隆片,国药准字H20243515,江苏利泰尔药业有限公司,南京市江宁区盛运路6号（江宁开发区）,江苏利泰尔药业有限公司,南京市江宁区盛运路6号（江宁开发区）,本品根据国家局《关于“通过一致性评价”标识使用有关事宜的说明》，在说明书和标签中增加“仿制药一致性评价”标识。,江苏省药品监督管理局,2024-06-22,已备案,详情
苏备2024023293,地舒单抗注射液,国药准字S20240010,江苏泰康生物医药有限公司,泰州市药城大道1号G03幢厂房,江苏泰康生物医药有限公司,泰州市健康大道803号G55幢,按照本品已批准的原液长期稳定性研究方案持续考察稳定性，稳定性数据结果符合方案要求，拟申请将地舒单抗原液有效期由24个月延长至36个月，同时修订制造检定规程中原液效期内容。,江苏省药品监督管理局,2024-06-22,已备案,详情
苏备2024023110,盐酸左氧氟沙星注射液,国药准字H20103145,南京成同生物制药技术发展有限公司,南京市高淳区桠溪国际慢城小镇10栋G区2511室,扬州中宝药业股份有限公司,江苏省扬州市宝应县经济开发区新 区宝应大道 91 号,上市许可持有人地址变更为：南京市高淳区桠溪国际慢城小镇10栋G区2511室。,江苏省药品监督管理局,2024-06-22,已备案,详情
苏备2024023183,散结镇痛胶囊,国药准字Z20030127,江苏康缘药业股份有限公司,连云港经济技术开发区江宁工业城,江苏康缘药业股份有限公司,连云港经济技术开发区江宁工业城，连云港市经济技术开发区泰山北路58号,根据国家药品监督管理局药品补充申请批准通知书(编号：2024B01852)修订说明书、标签的【不良反应】、【禁忌】、【注意事项】项内容。,江苏省药品监督管理局,2024-06-22,已备案,详情
浙备2024023595,强力枇杷露,国药准字Z33020151,杭州胡庆余堂药业有限公司,浙江省杭州市临平区经济技术开发区新洲路70号,杭州胡庆余堂药业有限公司,浙江省杭州市临平区经济技术开发区新洲路70号,"1、根据《国家药监局关于发布药品说明书适老化及无障碍改革试点工作方案的公告》(2023年第142号)，作为第一批参与试点的药品上市许可持有人对强力枇杷露的说明书进行相应的修订。修订内容为:在纸质说明书(完整版)上，增加一个可获得电子说明书(完整版)的二维码。
2、本品上市许可持有人注册地址名称由“杭州余杭经济技术开发区新洲路70号”变更为“浙江省杭州市临平区经济技术开发区新洲路70号”；生产企业地址名称由“杭州余杭经济技术开发区新洲路70号”变更为“浙江省杭州市临平区经济技术开发区新洲路70号”，并对说明书、包装标签作相应修订。
3、将产品说明书中“如有问题可与生产企业联系”修订为“如有问题可与上市许可持有人联系”。",浙江省药品监督管理局,2024-06-22,已备案,详情
皖备2024022418,羟苯磺酸钙胶囊,国药准字 H20247059,上海海虹实业（集团）巢湖今辰药业有限公司,安徽省巢湖市长江东路43号,上海海虹实业（集团）巢湖今辰药业有限公司,安徽省巢湖市长江东路43号,根据国家药监局关于修订羟苯磺酸钙口服制剂说明书的公告（2024年第37号）和关于仿制药质量和疗效一致性评价工作有关事项的公告（2017年第100号）的要求，修订羟苯磺酸钙胶囊（0.5g）说明书及套盒中不良反应、注意事项信息，同时在羟苯磺酸钙胶囊（0.5g）套盒、说明书上增加“一致性评价”标识。,安徽省药品监督管理局,2024-06-21,已备案,详情
蒙备2024023449,牛黄上清丸,国药准字Z15020739,内蒙古九郡药业有限责任公司,内蒙古自治区巴彦淖尔市五原县隆兴昌镇团结路,内蒙古九郡药业有限责任公司,内蒙古自治区巴彦淖尔市五原县隆兴昌镇团结路,"1.申请牛黄上清丸生产地址名称表述变更，由“内蒙古五原县隆兴昌镇团结路”变更为“内蒙古自治区巴彦淖尔市五原县隆兴昌镇团结路”。
2.申请牛黄上清丸“药品包装用铝箔和聚氯乙烯固体药用硬片泡罩包装，6g/丸×10丸/板×1板/盒”包装规格的说明书、包装标签的重新备案。具体变更内容如下：
牛黄上清丸药品说明书、包装标签【上市许可持有人/生产企业】项下生产地址由“内蒙古五原县隆兴昌镇团结路”变更为“内蒙古自治区巴彦淖尔市五原县隆兴昌镇团结路”。
牛黄上清丸内标签“【产品批号】”变更为“【产品批号】见边缘处”，“【有效期】36个月”变更为“【有效期至】见边缘处”。
规范牛黄上清丸药品说明书中的内容：【警示语】项下增加“警告：孕妇慎用。”；【包装】项下“药用铝塑包装”修订为“药品包装用铝箔和聚氯乙烯固体药用硬片泡罩包装”；“6克×10丸/盒”修订为“每丸重6克，每板装10丸，每盒装1板”；【执行标准】修订为“《中国药典》2020年版一部”；
其余内容皆按照相关法规要求，重新进行设计。申请人对申报资料的真实性、准确性、完整性、规范性负责。",内蒙古自治区药品监督管理局,2024-06-21,已备案,详情
冀备2024023584,注射用头孢西丁钠,国药准字H20084296,石药集团中诺药业（石家庄）有限公司,河北省石家庄经济技术开发区扬子路88号,石药集团中诺药业（石家庄）有限公司,河北省石家庄经济技术开发区扬子路88号,"申请备案在该品种的说明书和标签上添加“通过一致性评价”标识。 我公司对申报资料的真实性、准确性、完整性负责，并将持续关注变更后产品安全性、有效性和质量可控性,必要时提出补充申请。",河北省药品监督管理局,2024-06-21,已备案,详情
Y川备2024016145,罗沙司他,Y20210000003,无,无,四川仁安药业有限责任公司,四川省岳池县九龙镇（工业园区）健康路仁安段9号,罗沙司他原料药的有效期由18个月延长至36个月。,四川省药品监督管理局,2024-06-21,已备案,详情
苏备2024022953,替格瑞洛片,国药准字H20213179,南京一心和医药科技有限公司,南京市浦口区浦口经济开发区百合路111号紫峰研创中心一期2栋一层,"江苏利泰尔药业有限公司,南京海辰药业股份有限公司","南京市江宁区盛运路6 号（江宁开发区）,南京经济技术开发区恒发路1号","本品上市许可持有人地址由""江苏省南京市浦口区桥林街道步月路29号12幢-83”变更为“南京市浦口区浦口经济开发区百合路111号紫峰研创中心一期2栋一层”（仅名称变更，实际地址未发生实质变化），根据《药品上市后变更管理办法》(试行)，更新药品注册证书载明的上市许可持有人地址。药品说明书和包装标签同时进行修订。",江苏省药品监督管理局,2024-06-22,已备案,详情
苏备2024023100,五妙水仙膏,国药准字Z32020217,江苏福邦药业有限公司,灌南县江苏灌南经济开发区深圳路18号,江苏福邦药业有限公司,江苏省连云港市灌南县新安镇人民东路3号,根据药品生产许可证（证书编号：苏20160314），将该品种涉及药品上市持有人地址信息，由“灌南县新安镇人民东路”修订为“灌南县江苏灌南经济开发区深圳路18号”。,江苏省药品监督管理局,2024-06-22,已备案,详情
苏备2024022972,注射用比伐芦定,国药准字H20193019,苏州二叶制药有限公司,苏州市相城区黄埭镇东桥安民路2号,海南双成药业股份有限公司,海口市秀英区兴国路16号,根据质量标准YBH15252020制定了稳定性考察方案，稳定性数据结果符合方案要求，现将本品有效期由24个月变更为36个月。,江苏省药品监督管理局,2024-06-22,已备案,详情
苏备2024022926,马来酸噻吗洛尔滴眼液,国药准字H32021201,无锡济煜山禾药业股份有限公司,无锡市新吴区长江南路12号,无锡济煜山禾药业股份有限公司,无锡市新吴区长江南路12号,根据国家药监局国家卫生健康委关于发布实施《中华人民共和国药典》（2020年版）第一增补本的公告（2023年第126号）变更我司马来酸噻吗洛尔滴眼液的质量标准，由“《中国药典》2020年版二部”变更为“《中国药典》2020年版第一增补本”。,江苏省药品监督管理局,2024-06-22,已备案,详情
